Wicha Melchior
Kulikowski Wit
Kubiczek Leon
Gondek Danisław
Puławski Świętopełk
Wierzbowski Antoni
Kaczkowski Zygbert
Masłowski Florentyn
Franczyk Dżan
Lubański Sylwester
Czerniak Przybysław
Łopaciński Gniewomir
Bil Kajetan
Sobol Alojzy
Bakalarski Roch
Włodkowski Sobiesław
Weiss Jakub
Krawczuk Zachariasz
Rowiński Sędzisław
Dyduch Danisław
Kownacki Tęgomir
Sabat Sulibor
Zdanowski Barnaba
Barszczewski Roch
Dzida Korneli
Czerski Polikarp
Zientek Walery
Michalczyk Beniamin
Żądło Marcjan
Kachel Norbert
Kurzak Miroład
Soszka Wincenty
Śmietanka Jędrzej
Sójka Radzimir
Chyliński Jan
Szczotka Jaromir
Frańczak Bromir
Wrzesiński Paskal
Bednarczuk Bogumir
Węgrzyn Sofroniusz
Pióro Dobrosław
Struski Chociemir
Dusza January
Małolepszy Narcyz
Skowron Natan
Szpak Sambor
Kowalik Roman
Sulikowski Feliks
Spławski Wojciech
Ruciński Brunon
Pieczka Bolelut
Chrobot Hilary
Falkiewicz Olaf
Wyrwas Leszek
Rogóż Makary
Kopciński Wandelin
Kościuk Feliks
Krzyżowski Marian
Więcławski Justynian
Zięba Bronisław
Krasicki Justyn
Wodzyński Pafnucy
Czerwonka Cichosław
Chrobok Borysław
Szatan Alfons
Grudziński Jeremiasz
Jaros Wojsław
Górnicki Hadrian
Aniszewski Borzywoj
Leszczyński Ziemowit
Musik Zwinisław
Miśta Aleksander
Rusek Jędrzej
Kwidziński Teodor
Cymerman Wirgiliusz
Czapla Sędomir
Seliga Chwalisław
Lejman Luborad
Warchoł Serwacy
Pietrzykowski Makryn
Gdula Bodosław
Regulski Tulimir
Wojciechowski Janusz
Golański Renat
Romaniuk Famian
Konieczko Sędzisław
Bławat Władysław
Dobkowski Norbert
Białek Bolebor
Więcław Maurycy
Tarasiuk Ciechosław
Kowalkowski Maurycjusz
Lisiecki Cezary
Brudnicki Ewaryst
Spyrka Anzelm
Gawrych Gerard
Siedlecki Zachariasz
Karaś Rufus
Nowosielski Cecyl
Chwiałkowski Gniewosz
Choiński Florian
